id,trial,x,y,ymax,kernel,scenario,horizon,round,reward,experimentDuration,instructionsDuration,overall,Horizon
1,4,6,52.4645420064,58,Rough,Avg. Reward Condition,5,15,1.01,0:04:16,0:00:52,15,Short
1,5,5,27.1123252671,96,Rough,Avg. Reward Condition,5,15,1.01,0:04:16,0:00:52,15,Short
1,6,4,7.9276955052,96,Rough,Avg. Reward Condition,5,15,1.01,0:04:16,0:00:52,15,Short
1,1,29,62.0678920015,40,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
1,2,17,7.8553152043,63,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
1,3,11,56.988681886,63,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
1,4,8,62.7887329939,66,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
1,5,4,39.675783759,70,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
1,6,3,21.2596340724,70,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
1,7,5,62.7887329939,76,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
1,8,6,29.4992346195,76,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
1,9,0,78.5004687088,76,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
1,10,1,75.8071940954,76,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
1,11,2,96.9661660673,76,Rough,Avg. Reward Condition,10,16,1.01,0:04:16,0:00:52,16,Long
2,1,22,29.5527258491,91,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,2,23,41.7406848081,91,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,3,21,47.536601094,99,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,4,20,61.6355423797,99,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,5,16,77.022277463,99,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,6,4,77.022277463,99,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,7,3,77.022277463,99,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,8,5,77.022277463,99,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,9,6,77.022277463,99,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,10,13,77.022277463,99,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,11,10,77.022277463,99,Rough,Avg. Reward Condition,10,1,1.04,0:03:54,0:00:42,17,Long
2,1,27,44.5418863346,56,Rough,Avg. Reward Condition,5,2,1.04,0:03:54,0:00:42,18,Short
2,2,26,21.2596340724,56,Rough,Avg. Reward Condition,5,2,1.04,0:03:54,0:00:42,18,Short
2,3,25,78.5004687088,59,Rough,Avg. Reward Condition,5,2,1.04,0:03:54,0:00:42,18,Short
2,4,24,78.5004687088,59,Rough,Avg. Reward Condition,5,2,1.04,0:03:54,0:00:42,18,Short
2,5,28,78.5004687088,81,Rough,Avg. Reward Condition,5,2,1.04,0:03:54,0:00:42,18,Short
2,6,29,78.5004687088,100,Rough,Avg. Reward Condition,5,2,1.04,0:03:54,0:00:42,18,Short
2,1,0,0,51,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,2,1,77.0755792017,66,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,3,2,77.0755792017,69,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,4,3,77.0755792017,72,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,5,4,77.0755792017,72,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,6,11,77.0755792017,72,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,7,12,77.0755792017,72,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,8,10,77.0755792017,72,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,9,7,77.0755792017,72,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,10,19,77.0755792017,99,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,11,20,77.0755792017,99,Rough,Avg. Reward Condition,10,3,1.04,0:03:54,0:00:42,19,Long
2,1,3,71.4703136555,86,Rough,Avg. Reward Condition,5,4,1.04,0:03:54,0:00:42,20,Short
2,2,4,42.8553329808,86,Rough,Avg. Reward Condition,5,4,1.04,0:03:54,0:00:42,20,Short
2,3,2,71.4703136555,99,Rough,Avg. Reward Condition,5,4,1.04,0:03:54,0:00:42,20,Short
2,4,1,71.4703136555,99,Rough,Avg. Reward Condition,5,4,1.04,0:03:54,0:00:42,20,Short
2,5,13,71.4703136555,99,Rough,Avg. Reward Condition,5,4,1.04,0:03:54,0:00:42,20,Short
2,6,14,71.4703136555,99,Rough,Avg. Reward Condition,5,4,1.04,0:03:54,0:00:42,20,Short
2,1,27,28.932610128,56,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
2,2,26,45.2161752862,56,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
2,3,28,54.4490394656,56,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
2,4,11,61.938899143,56,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
2,5,16,53.127222703,78,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
2,6,17,50.040976858,78,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
2,7,15,12.2802325428,78,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
